,tool,ap_ext,ap_orig
0,BLIA,0.4804911598090042,0.4804773515781857
1,BRTracer,0.4838542290009965,0.4862292092055558
2,BugLocator,0.4450175533837039,0.4458496436336551
3,BLIA,0.4753891150088022,0.4745567415058548
4,BRTracer,0.5071238622810702,0.5071493723328067
5,BugLocator,0.4754623352249253,0.4746516921579641
6,BLIA,0.4983379434367901,0.4980716872741138
7,BRTracer,0.5175884165845862,0.5175996469079698
8,BugLocator,0.4755786152304251,0.4729522827295395
9,BLIA,0.5243108731914344,0.5230628646828013
10,BRTracer,0.5304815655030075,0.536794305397737
11,BugLocator,0.4730145709297606,0.4729940718891345
12,BLIA,0.476420601686153,0.4736709439612165
13,BRTracer,0.4878303963014105,0.4884091498821762
14,BugLocator,0.4761252233555904,0.4727250874994649
15,BLIA,0.4758370101966076,0.4749667763714914
16,BRTracer,0.5132829969318121,0.5094074914962017
17,BugLocator,0.4755831104132411,0.4635826171173158
18,BLIA,0.4954259906735224,0.4979497630468685
19,BRTracer,0.4948030001872317,0.4963718710763492
20,BugLocator,0.4526301148758063,0.4525954873493526
21,BLIA,0.4977927097349272,0.4941646468158138
22,BRTracer,0.514063481728904,0.5140889179271022
23,BugLocator,0.473741486388562,0.4749063301215487
24,BLIA,0.4952646713330874,0.495264620086089
25,BRTracer,0.4857190667469366,0.4876233143508621
26,BugLocator,0.4531464014768534,0.4499400972448872
27,BLIA,0.49712269150717797,0.4950263288716477
28,BRTracer,0.4983277698406305,0.49676376119762505
29,BugLocator,0.4435924827049629,0.44051231305885546
30,BLIA,0.5004532202079542,0.4964769065691058
31,BRTracer,0.4893573443607782,0.4893001409596432
32,BugLocator,0.4512382054758256,0.4521084335171459
33,BLIA,0.5225347786569784,0.5200328166772517
34,BRTracer,0.5089025515182749,0.5089052431279069
35,BugLocator,0.4611284867816529,0.4611878666533169
36,BLIA,0.4881489925890134,0.4859933749769242
37,BRTracer,0.5134021144824381,0.5128003160211184
38,BugLocator,0.4768932347554271,0.4769330108641856
39,BLIA,0.5323867308026501,0.52695577903158
40,BRTracer,0.5332288790273982,0.5213153202656859
41,BugLocator,0.4790153784421554,0.4792980904226318
42,BLIA,0.4932325948905383,0.4940678518486574
43,BRTracer,0.4826371017162995,0.4805292549241441
44,BugLocator,0.459262655587371,0.4566810005695083
45,BLIA,0.5073123456360847,0.5075553438099457
46,BRTracer,0.5164691309234257,0.5161942860494302
47,BugLocator,0.4690291859845001,0.4707996684377768
48,BLIA,0.4965744453471756,0.4998219202985528
49,BRTracer,0.5031700196208629,0.5025788795303235
50,BugLocator,0.4542357147120674,0.4497267268407972
51,BLIA,0.4981270111547608,0.5032475871310436
52,BRTracer,0.5108599855472759,0.5107385437754163
53,BugLocator,0.4773374627324943,0.4773370386236844
54,BLIA,0.4901080949068955,0.4934950497323127
55,BRTracer,0.5030857221348617,0.5073143671393902
56,BugLocator,0.455109396209189,0.45376716898796904
57,BLIA,0.4906867559965052,0.4906852766437011
58,BRTracer,0.5101397947388132,0.5114131593895247
59,BugLocator,0.4676946082249398,0.4671916876002837
