project,BLIA,BLIA_ext,BRTracer,BRTracer_ext,BugLocator,BugLocator_ext,count
AMQP,0.6208485958485956,0.6244466551118433,0.5349148619292904,0.536670952592009,0.5392735638869366,0.5536134074698587,13
BATCH,0.5180157794249776,0.515043415277811,0.6228829121763904,0.61649135005663,0.5280823049456598,0.5228673597022014,13
CAMEL,0.442120183512969,0.4401738582695215,0.5024311294295698,0.499696635495963,0.44820339255816455,0.44656078155740325,111
COMPRESS,0.7919010989010987,0.7943650906841697,0.7308237792980439,0.7231856550869499,0.6981836125048165,0.6897948707053428,10
DATACMNS,0.5439416806277271,0.5468518793788624,0.42396758933645773,0.4148286917969209,0.36172377695985114,0.3638975378740753,13
DATAJPA,0.7117207080200503,0.6799793838709813,0.5224537635739966,0.5263870417490826,0.4493389073047685,0.44591549946263037,16
DATAMONGO,0.5609892394859098,0.5714146786465336,0.4611891085630407,0.46893828692006795,0.4332801895046531,0.4264012423147399,16
DATAREDIS,0.6524705836428324,0.6518549555751476,0.6982120832917311,0.6957921277020327,0.608207967278422,0.6108613780571714,11
DATAREST,0.5965291082091116,0.5965282759632714,0.4423716933723412,0.44551433703771953,0.40469401225926066,0.4097406460760625,11
HBASE,0.4601236252401556,0.45834382114092487,0.5176817330798705,0.5149664834857106,0.47248679566725754,0.4799208167356577,148
LANG,0.8713068181818182,0.8759389446870266,0.80227495543672,0.800954569077408,0.7835736710736712,0.7789048329190795,22
OTHER,0.49958731378223326,0.4933251096361541,0.47889480970312065,0.47229211099389296,0.4459257369364179,0.44082163904104865,55
ROO,0.4174067669569065,0.4264572784037616,0.411065757633569,0.42968620697714394,0.3511598618962137,0.3656681616493489,40
SEC,0.6778129096318749,0.6808830088170446,0.6004237213449064,0.5932659263662006,0.6121695257568994,0.6083419513300145,29
SGF,0.5009655252191049,0.5028313699584582,0.44175595572004067,0.48371456050924644,0.49548360984772044,0.4796750000321227,10
SWS,0.4036562733243768,0.40853110325634956,0.4223546752392906,0.42202783221132945,0.45816978038978784,0.4536531231869829,10
WFCORE,0.29837993446301253,0.30336984879267676,0.35601143433923144,0.35838523230184677,0.3028020555373642,0.3044739377006644,56
