project,BLIA,BLIA_ext,BRTracer,BRTracer_ext,BugLocator,BugLocator_ext,count
AMQP,0.6208485958485956,0.626727675228528,0.5349148619292904,0.5374625028201577,0.5392735638869366,0.5581209922601764,13
BATCH,0.5180157794249776,0.5146473061067798,0.6228829121763904,0.6197567064750639,0.5280823049456598,0.54302889975627,13
BATCHADM,1.0,1.0,1.0,1.0,1.0,1.0,1
CAMEL,0.442120183512969,0.4401313318990437,0.5024311294295698,0.49983789465040723,0.44820339255816455,0.44899216358792965,111
CODEC,0.5064560439560439,0.5070131257631256,0.2003032912361271,0.19755662003954588,0.4331163499882712,0.4326296474533686,2
COMPRESS,0.7919010989010987,0.793847334747296,0.7308237792980439,0.7279818063426042,0.6981836125048165,0.6896418431419138,10
CONFIGURATION,0.6470833333333335,0.6423467611070419,0.5980523255813954,0.5817695608119559,0.6419889937106917,0.6311108822815725,2
DATACMNS,0.5439416806277271,0.5452250038587193,0.42396758933645773,0.4153575943809876,0.36172377695985114,0.3616134403659238,13
DATAGRAPH,0.48771446078431363,0.49377100840336147,0.387412071975325,0.3796676410345424,0.33581528912854214,0.33455026436190155,4
DATAJPA,0.7117207080200503,0.689353722159497,0.5224537635739966,0.5248113256580959,0.4493389073047685,0.43874707648582356,16
DATAMONGO,0.5609892394859098,0.5563337856359157,0.4611891085630407,0.46203004228695,0.4332801895046531,0.4337663282919791,16
DATAREDIS,0.6524705836428324,0.6548965713534434,0.6982120832917311,0.6952728127483276,0.608207967278422,0.6085678125652313,11
DATAREST,0.5965291082091116,0.6024848948103798,0.4423716933723412,0.4474092232034111,0.40469401225926066,0.4083692881355758,11
HBASE,0.4601236252401556,0.4605814526455883,0.5176817330798705,0.5158439563199428,0.47248679566725754,0.47856693047728316,148
HIVE,0.22174535533910533,0.22539646412652653,0.393512050414727,0.3938726996513906,0.4234225567298173,0.41428964272720536,4
IO,1.0,1.0,1.0,1.0,1.0,1.0,1
JBMETA,0.05627705627705627,0.05979467114645236,0.05681183696259072,0.05737896704876683,0.060198349182437313,0.05979033077973948,1
LANG,0.8713068181818182,0.8705379077944325,0.80227495543672,0.8022779035742774,0.7835736710736712,0.7794266541468815,22
LDAP,0.25,0.25833333333333336,0.25,0.24500000000000002,0.20000000000000004,0.22500000000000003,1
MATH,0.43425925925925923,0.43425925925925923,0.4091305165833468,0.4105480961050663,0.36962709378512487,0.3678582401642666,9
ROO,0.4174067669569065,0.42475741979920184,0.411065757633569,0.421467357512484,0.3511598618962137,0.3566018962466412,40
SEC,0.6778129096318749,0.6801795452034044,0.6004237213449064,0.6041608964935901,0.6121695257568994,0.6023172493137318,29
SECOAUTH,0.7783333333333331,0.7791159046890191,0.4490384615384616,0.44525278746614283,0.3440000000000001,0.3419176862301863,2
SGF,0.5009655252191049,0.5024802703172877,0.44175595572004067,0.45823685730296243,0.49548360984772044,0.4842663141118596,10
SHDP,0.2908056064306065,0.28908858798925546,0.29730669353675016,0.2971552322600052,0.2582508159295356,0.24958384462659944,3
SOCIAL,0.6845238095238095,0.6838492063492063,0.6143939393939395,0.6059237012987012,0.595817532766076,0.5863341354724946,3
SOCIALFB,0.025000000000000005,0.02634161998132587,0.36111111111111094,0.35710858585858574,0.3088235294117646,0.2860539215686274,1
SOCIALTW,0.638095238095238,0.6387820512820512,0.60625,0.61875,0.41018548340624267,0.4223872455663004,2
SPR,0.5,0.45,0.3333333333333332,0.34166666666666656,0.125,0.12779761904761902,1
SWARM,0.34851742919389983,0.3470400905331246,0.39373400184168666,0.38647061654953135,0.22257678565244654,0.2216883648468675,6
SWF,0.7686141304347825,0.7495834106040308,0.7217948717948717,0.7105749069479709,0.7375359195402298,0.7344486249474329,8
SWS,0.4036562733243768,0.4357131169783865,0.4223546752392906,0.4217014943544871,0.45816978038978784,0.45369081702913594,10
WFCORE,0.29837993446301253,0.302227666976157,0.35601143433923144,0.36002279620423244,0.3028020555373642,0.30448139762590454,56
WFLY,0.3984777099944901,0.399283282773864,0.48823351813528576,0.48936696892517223,0.5029409137188667,0.5002089350057164,4
