project,Performance,jpinpoint-common-rules,Best Practices,Multithreading,jpinpoint-concurrent-rules,size,mean_bug_report_len
AMQP,9.75,8.65,13.0,9.75,7.35,14.0,2215.6321428571428
ANDROID,0.0,0.0,1.0,0.0,0.0,1.0,78.0
BATCH,21.05,25.6,24.0,10.2,5.9,35.0,1445.1314285714284
BATCHADM,0.65,1.35,0.6,0.0,0.65,2.0,528.975
CAMEL,73.5,105.35,133.15,70.15,35.9,185.0,1436.8110810810808
CODEC,0.0,1.0,1.0,0.0,1.0,1.0,1909.0
COLLECTIONS,1.35,2.0,1.35,1.35,0.0,2.0,2502.125
COMPRESS,15.35,10.65,14.75,5.55,5.4,20.0,1100.4150000000002
CONFIGURATION,1.15,0.9,3.45,0.8,1.75,4.0,1779.975
CSV,2.2,2.5,2.5,0.0,0.0,3.0,246.21666666666664
DATACMNS,8.05,10.25,3.75,4.95,0.75,17.0,1316.0058823529412
DATAGRAPH,1.0,2.95,0.5,2.7,0.0,6.0,301.84999999999997
DATAJPA,7.8,15.2,6.4,2.55,5.8,24.0,1766.6000000000004
DATAMONGO,18.0,23.85,25.35,8.75,3.0,36.0,1341.8888888888891
DATAREDIS,2.35,4.6,3.6,2.6,1.6,6.0,690.8916666666667
DATAREST,5.25,6.3,5.85,2.1,2.8,16.0,2722.384375
ELY,0.0,0.0,0.0,0.0,0.0,2.0,1134.9
HBASE,27.4,28.2,31.05,23.65,23.3,32.0,1289.890625
HIVE,8.25,5.85,7.45,7.2,5.75,10.0,1313.725
IO,10.15,6.3,12.05,4.3,3.4,13.0,490.1461538461538
JBMETA,1.0,0.0,0.0,0.0,0.0,1.0,402.0
LANG,9.1,7.2,12.7,1.35,2.9,17.0,1016.4088235294117
LDAP,0.0,0.0,0.6,0.0,0.0,2.0,2775.8
MATH,9.5,4.4,12.3,0.0,2.1,19.0,794.4078947368422
MOBILE,0.65,1.3,0.0,0.0,0.0,5.0,317.87999999999994
ROO,43.7,31.2,40.3,22.25,20.0,49.0,862.0530612244899
SEC,25.9,29.85,39.3,1.6,5.25,72.0,1208.3305555555555
SECOAUTH,1.65,1.75,3.0,1.65,0.0,3.0,425.4333333333333
SGF,2.6,4.15,5.2,0.6,2.0,10.0,988.5500000000004
SHDP,3.25,4.65,4.75,3.75,2.25,6.0,400.16666666666663
SHL,0.0,0.0,0.0,0.0,0.0,1.0,46.0
SOCIAL,1.05,1.05,2.0,0.0,0.0,2.0,447.95
SOCIALFB,0.0,1.2,0.8,0.0,1.2,2.0,1208.45
SOCIALTW,1.05,0.95,0.95,0.0,0.0,2.0,406.475
SPR,3.3,4.2,4.95,3.2,2.25,6.0,1430.8333333333335
SWARM,0.0,1.05,1.9,0.95,0.95,4.0,700.9625
SWF,6.05,7.95,11.5,3.45,3.25,20.0,1075.5925000000002
SWS,7.3,7.7,11.7,2.35,1.15,18.0,1848.9472222222223
WFCORE,3.7,4.1,5.8,2.2,1.9,9.0,827.4166666666666
WFLY,28.15,16.6,23.1,21.55,9.95,57.0,2126.2043859649125
