project,Performance,jpinpoint-common-rules,Best Practices,Multithreading,jpinpoint-concurrent-rules,size,mean_bug_report_len
AMQP,27.7,31.8,40.95,34.85,26.95,49.0,597.1561224489797
ANDROID,3.45,2.4,6.0,0.0,0.9,6.0,633.0916666666666
BATCH,117.55,101.45,150.15,39.45,41.8,204.0,596.1026960784313
BATCHADM,3.85,3.75,6.0,1.4,4.75,10.0,816.7549999999999
CAMEL,195.0,306.0,419.8,242.2,131.3,592.0,1039.575929054054
CODEC,1.9,2.85,6.3,1.9,0.95,10.0,550.5200000000001
COLLECTIONS,4.55,11.6,9.85,5.75,0.0,14.0,969.4464285714287
COMPRESS,30.65,17.1,34.4,9.5,11.2,39.0,1023.3884615384617
CONFIGURATION,4.9,11.2,8.3,7.15,7.05,13.0,725.0076923076922
CRYPTO,0.0,0.0,2.0,0.0,0.0,2.0,236.5
CSV,3.5,6.0,4.4,0.0,0.0,8.0,428.4375
DATACMNS,19.25,31.65,28.25,13.4,6.95,61.0,1150.5885245901638
DATAGRAPH,3.55,13.95,10.5,6.75,0.0,21.0,1609.254761904762
DATAJPA,17.1,30.45,30.0,7.45,5.1,59.0,1537.7313559322033
DATAMONGO,74.2,67.15,66.75,34.45,26.05,121.0,1154.2214876033056
DATAREDIS,12.15,13.45,5.85,7.35,2.1,18.0,876.6555555555557
DATAREST,17.4,27.0,15.0,7.65,1.5,46.0,1231.395652173913
ELY,2.0,0.0,2.0,0.95,0.0,2.0,464.2
ENTESB,0.0,0.45,1.05,0.45,0.45,4.0,1588.175
HBASE,82.4,70.25,90.75,62.6,65.0,94.0,1065.4260638297874
HIVE,2.2,4.25,8.0,3.95,1.0,8.0,1973.225
IO,7.85,5.25,11.95,6.35,2.95,15.0,840.5933333333332
JBMETA,5.2,1.05,6.9,2.6,1.3,9.0,525.5666666666665
LANG,18.35,11.95,40.65,4.65,13.95,44.0,881.2329545454547
LDAP,18.3,17.25,20.3,2.35,6.1,32.0,935.0078125
MATH,38.25,5.85,72.45,0.8,11.0,85.0,1275.0899999999997
MOBILE,0.0,3.0,0.0,0.0,0.0,3.0,509.2333333333333
ROO,225.5,139.75,213.85,95.0,84.5,270.0,1351.2237037037037
SEC,103.6,87.25,148.2,21.9,12.75,196.0,1044.7170918367347
SECOAUTH,23.9,25.35,29.1,17.9,2.0,47.0,1017.2563829787235
SGF,16.85,18.35,23.95,6.3,8.45,36.0,1306.0180555555557
SHDP,6.15,6.55,10.75,4.75,3.65,16.0,527.496875
SHL,4.35,3.5,4.7,3.05,5.55,6.0,387.8166666666666
SOCIAL,1.05,3.45,2.75,0.0,1.7,5.0,476.97000000000014
SOCIALFB,2.35,2.8,5.85,2.25,1.05,7.0,687.1357142857144
SOCIALLI,0.0,2.0,1.35,0.6,0.0,2.0,221.175
SOCIALTW,0.0,3.0,2.0,0.0,0.0,3.0,528.0
SPR,15.6,7.5,15.5,10.45,4.4,25.0,2030.386
SWARM,5.85,5.7,10.0,3.9,2.85,18.0,1124.3972222222224
SWF,18.65,19.5,22.9,11.8,7.05,49.0,1012.8071428571427
SWS,17.9,16.35,36.85,2.75,1.8,52.0,1693.3509615384614
WEAVER,1.0,1.0,1.0,1.0,0.0,1.0,369.0
WFARQ,1.0,0.0,1.0,1.0,0.0,1.0,1487.0
WFCORE,66.4,45.9,89.55,74.65,36.85,140.0,1538.560714285714
WFLY,200.15,111.2,215.95,218.95,125.2,491.0,2122.7396130346233
WFMP,0.0,0.65,0.65,0.6,0.6,2.0,2055.425
