,test,stat,p,h0,x_label,y_label
0,shapiro_stat,0.9650945067405701,0.6497678160667419,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,0.4232096407072825,0.8092844471246984,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,shapiro_stat,0.9479762315750122,0.3374127447605133,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,1.3017621879323633,0.5215860079565455,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,t_test_ind_one_sided,0.21302127200539966,0.4162245429733244,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,welch_t_test_ind_one_sided,0.21302127200539966,0.41622749017495725,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,t_test_rel_one_sided,1.1324981476913483,0.135757620359849,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,wilcoxon,95.0,0.08133665753597341,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,x_min,0.3898636395334351,0.3898636395334351,x_min,BLIA_ext,BLIA
0,y_min,0.3854388803603463,0.3854388803603463,y_min,BLIA_ext,BLIA
0,x_var,0.001083378752602641,0.001083378752602641,x_var,BLIA_ext,BLIA
0,y_var,0.0012516859253471615,0.0012516859253471615,y_var,BLIA_ext,BLIA
0,x_std,0.03291471939121829,0.03291471939121829,x_std,BLIA_ext,BLIA
0,y_std,0.03537917361029171,0.03537917361029171,y_std,BLIA_ext,BLIA
0,shapiro_stat,0.9650945067405701,0.6497678160667419,BLIA_ext - that the data was drawn from normal distribution,,
1,dagostino_stat,0.4232096407072825,0.8092844471246984,BLIA_ext - that the data was drawn from normal distribution,,
0,shapiro_stat,0.9479762315750122,0.3374127447605133,BLIA - that the data was drawn from normal distribution,,
1,dagostino_stat,1.3017621879323633,0.5215860079565455,BLIA - that the data was drawn from normal distribution,,
0,t_test_two_sided,0.21302127200539966,0.8324490859466488,BLIA_ext is not different BLIA,,
0,welch_t_test_two_sided,0.21302127200539966,0.8324549803499145,BLIA_ext is not different BLIA,,
0,x_min,0.3898636395334351,0.3898636395334351,x_min,,
0,y_min,0.3854388803603463,0.3854388803603463,y_min,,
