,test,stat,p,h0,x_label,y_label
0,shapiro_stat,0.9650945067405701,0.6497678160667419,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,0.42320964070731004,0.8092844471246872,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,shapiro_stat,0.9479762315750122,0.3374127447605133,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,1.3017621879323444,0.5215860079565504,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,t_test_ind_one_sided,0.21302127200538423,0.4162245429733304,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,welch_t_test_ind_one_sided,0.21302127200538423,0.4162274901749632,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,t_test_rel_one_sided,1.1324981476913454,0.13575762035984965,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,wilcoxon,95.0,0.08133665753597341,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,x_min,0.38986363953343506,0.38986363953343506,x_min,BLIA_ext,BLIA
0,y_min,0.3854388803603463,0.3854388803603463,y_min,BLIA_ext,BLIA
0,x_var,0.0010833787526026417,0.0010833787526026417,x_var,BLIA_ext,BLIA
0,y_var,0.0012516859253471613,0.0012516859253471613,y_var,BLIA_ext,BLIA
0,x_std,0.032914719391218296,0.032914719391218296,x_std,BLIA_ext,BLIA
0,y_std,0.035379173610291706,0.035379173610291706,y_std,BLIA_ext,BLIA
0,shapiro_stat,0.9650945067405701,0.6497678160667419,BLIA_ext - that the data was drawn from normal distribution,,
1,dagostino_stat,0.42320964070731004,0.8092844471246872,BLIA_ext - that the data was drawn from normal distribution,,
0,shapiro_stat,0.9479762315750122,0.3374127447605133,BLIA - that the data was drawn from normal distribution,,
1,dagostino_stat,1.3017621879323444,0.5215860079565504,BLIA - that the data was drawn from normal distribution,,
0,t_test_two_sided,0.21302127200538423,0.8324490859466608,BLIA_ext is not different BLIA,,
0,welch_t_test_two_sided,0.21302127200538423,0.8324549803499264,BLIA_ext is not different BLIA,,
0,x_min,0.38986363953343506,0.38986363953343506,x_min,,
0,y_min,0.3854388803603463,0.3854388803603463,y_min,,
0,paired bootstrap,11.0,0.55,abs count BLIA_ext better than BLIA,,
0,shapiro_stat,0.9042112231254578,0.0494939424097538,BRTracer_ext - that the data was drawn from normal distribution,BRTracer_ext,BRTracer
1,dagostino_stat,7.103085830942142,0.028680354136506655,BRTracer_ext - that the data was drawn from normal distribution,BRTracer_ext,BRTracer
0,shapiro_stat,0.8788158893585205,0.01684698462486267,BRTracer - that the data was drawn from normal distribution,BRTracer_ext,BRTracer
1,dagostino_stat,9.897859916169347,0.007090992530171542,BRTracer - that the data was drawn from normal distribution,BRTracer_ext,BRTracer
0,t_test_ind_one_sided,-0.22560863509899895,0.5886425821782527,BRTracer_ext is not greater than BRTracer,BRTracer_ext,BRTracer
0,welch_t_test_ind_one_sided,-0.22560863509899895,0.5886424614508978,BRTracer_ext is not greater than BRTracer,BRTracer_ext,BRTracer
0,t_test_rel_one_sided,-2.200868788302365,0.9798447868206915,BRTracer_ext is not greater than BRTracer,BRTracer_ext,BRTracer
0,wilcoxon,27.0,0.9945781509724041,BRTracer_ext is not greater than BRTracer,BRTracer_ext,BRTracer
0,x_min,0.360881057430825,0.360881057430825,x_min,BRTracer_ext,BRTracer
0,y_min,0.3604069506218919,0.3604069506218919,y_min,BRTracer_ext,BRTracer
0,x_var,0.0024064236316670594,0.0024064236316670594,x_var,BRTracer_ext,BRTracer
0,y_var,0.002339235970048298,0.002339235970048298,y_var,BRTracer_ext,BRTracer
0,x_std,0.04905531196177494,0.04905531196177494,x_std,BRTracer_ext,BRTracer
0,y_std,0.04836564865737146,0.04836564865737146,y_std,BRTracer_ext,BRTracer
0,shapiro_stat,0.9042112231254578,0.0494939424097538,BRTracer_ext - that the data was drawn from normal distribution,,
1,dagostino_stat,7.103085830942142,0.028680354136506655,BRTracer_ext - that the data was drawn from normal distribution,,
0,shapiro_stat,0.8788158893585205,0.01684698462486267,BRTracer - that the data was drawn from normal distribution,,
1,dagostino_stat,9.897859916169347,0.007090992530171542,BRTracer - that the data was drawn from normal distribution,,
0,t_test_two_sided,-0.22560863509899895,0.8227148356434946,BRTracer_ext is not different BRTracer,,
0,welch_t_test_two_sided,-0.22560863509899895,0.8227150770982046,BRTracer_ext is not different BRTracer,,
0,x_min,0.360881057430825,0.360881057430825,x_min,,
0,y_min,0.3604069506218919,0.3604069506218919,y_min,,
0,paired bootstrap,4.0,0.2,abs count BRTracer_ext better than BRTracer,,
0,shapiro_stat,0.975307822227478,0.8604431748390198,BugLocator_ext - that the data was drawn from normal distribution,BugLocator_ext,BugLocator
1,dagostino_stat,1.4217924633082406,0.49120376776163566,BugLocator_ext - that the data was drawn from normal distribution,BugLocator_ext,BugLocator
0,shapiro_stat,0.9776424169540405,0.9001627564430237,BugLocator - that the data was drawn from normal distribution,BugLocator_ext,BugLocator
1,dagostino_stat,1.3838183387731489,0.500619388912773,BugLocator - that the data was drawn from normal distribution,BugLocator_ext,BugLocator
0,t_test_ind_one_sided,-0.15502365741291158,0.5611884072799864,BugLocator_ext is not greater than BugLocator,BugLocator_ext,BugLocator
0,welch_t_test_ind_one_sided,-0.15502365741291158,0.5611883247892258,BugLocator_ext is not greater than BugLocator,BugLocator_ext,BugLocator
