,test,stat,p,h0,x_label,y_label
0,shapiro_stat,0.8551616668701172,0.006512902677059174,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,2.6464740289270705,0.2662719791776857,BLIA_ext - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,shapiro_stat,0.9089828133583069,0.06095534935593605,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
1,dagostino_stat,1.7561575707554045,0.4155805646625196,BLIA - that the data was drawn from normal distribution,BLIA_ext,BLIA
0,t_test_ind_one_sided,0.4363704585022227,0.33251866700967614,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,welch_t_test_ind_one_sided,0.4363704585022227,0.33251916464384845,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,t_test_rel_one_sided,3.2764379892863436,0.001985246912691644,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,wilcoxon,188.0,0.0005083084106445312,BLIA_ext is not greater than BLIA,BLIA_ext,BLIA
0,x_min,0.4247826295785613,0.4247826295785613,x_min,BLIA_ext,BLIA
0,y_min,0.399158249766244,0.399158249766244,y_min,BLIA_ext,BLIA
0,x_var,0.0015866774452582143,0.0015866774452582143,x_var,BLIA_ext,BLIA
0,y_var,0.0015240984575670565,0.0015240984575670565,y_var,BLIA_ext,BLIA
0,x_std,0.03983311995385516,0.03983311995385516,x_std,BLIA_ext,BLIA
0,y_std,0.03903970360501033,0.03903970360501033,y_std,BLIA_ext,BLIA
0,shapiro_stat,0.8551616668701172,0.006512902677059174,BLIA_ext - that the data was drawn from normal distribution,,
1,dagostino_stat,2.6464740289270705,0.2662719791776857,BLIA_ext - that the data was drawn from normal distribution,,
0,shapiro_stat,0.9089828133583069,0.06095534935593605,BLIA - that the data was drawn from normal distribution,,
1,dagostino_stat,1.7561575707554045,0.4155805646625196,BLIA - that the data was drawn from normal distribution,,
0,t_test_two_sided,0.4363704585022227,0.6650373340193523,BLIA_ext is not different BLIA,,
