,tool,ap_ext,ap_orig
0,BLIA,0.3679082059087749,0.3866054145547146
1,BRTracer,0.34621097036373266,0.33480941478924103
2,BugLocator,0.3031085809671396,0.24249594622511025
3,BLIA,0.3473544434258405,0.3694320462922805
4,BRTracer,0.34773502504146697,0.3521924919247834
5,BugLocator,0.3216827616573059,0.3569433733844895
6,BLIA,0.4648407765762378,0.4625824448621058
7,BRTracer,0.4687466971365509,0.4718296843206617
8,BugLocator,0.4880707881771134,0.4220782074339535
9,BLIA,0.3728524562876895,0.3863983241416029
10,BRTracer,0.4272516618701091,0.4210008099133061
11,BugLocator,0.3127250944912961,0.2933720178016727
12,BLIA,0.373811484829185,0.36546663079438624
13,BRTracer,0.2940667019699757,0.2854836453011086
14,BugLocator,0.21323664652369687,0.20746062204614926
15,BLIA,0.3405772538390656,0.27748230395013485
16,BRTracer,0.3734223406118505,0.37356911928365377
17,BugLocator,0.3657401125871317,0.3531340159402828
18,BLIA,0.4383032954363849,0.4368588980669889
19,BRTracer,0.5235943287333303,0.5263508919913039
20,BugLocator,0.3744969862647172,0.43078682144006464
21,BLIA,0.35992349367140203,0.35977416463182604
22,BRTracer,0.4278915403663181,0.4151277579557749
23,BugLocator,0.5422744242258342,0.5111422108859404
24,BLIA,0.38007871390663744,0.38928485198689533
25,BRTracer,0.40388065277730495,0.3611715834640251
26,BugLocator,0.31114887636121,0.2779003480981384
27,BLIA,0.35541607587365553,0.3185090646041019
28,BRTracer,0.4097692046397737,0.3501147369008056
29,BugLocator,0.33861075753881525,0.277763613008478
30,BLIA,0.5834210628050405,0.5672244862166596
31,BRTracer,0.5448220142588454,0.5445093386218705
32,BugLocator,0.4724671784589206,0.4685429321361486
33,BLIA,0.4656512543691143,0.4601844319175303
34,BRTracer,0.4775528540300913,0.4741971204649997
35,BugLocator,0.3903008124786901,0.3550608670222531
36,BLIA,0.44085915661380615,0.4493997824748073
37,BRTracer,0.4618617456229665,0.4519086314437826
38,BugLocator,0.4473810412575477,0.4044408402284129
39,BLIA,0.576676704742974,0.5179457708705011
40,BRTracer,0.3290690405321152,0.3214434086951028
41,BugLocator,0.2536060948299243,0.2885970805128209
42,BLIA,0.5190234511234609,0.4917826336918502
43,BRTracer,0.4851731710030693,0.4820814056583799
44,BugLocator,0.4591858181677809,0.4105162285586396
45,BLIA,0.3721260475386532,0.359778748165557
46,BRTracer,0.4451533888135826,0.4217989149140652
47,BugLocator,0.3813637522142719,0.38759204811850784
48,BLIA,0.4289158330159166,0.4454808732933733
49,BRTracer,0.4726544227799988,0.4609405106578887
50,BugLocator,0.4313144870190565,0.4313144870190565
51,BLIA,0.3505098261287809,0.3402952706925426
52,BRTracer,0.33104219646890776,0.3290641588859492
53,BugLocator,0.3666390777717639,0.3589749535135479
54,BLIA,0.4711837408052173,0.4727879174530759
55,BRTracer,0.4226817185914027,0.37823902831505796
56,BugLocator,0.3397979823283188,0.2387501339446837
57,BLIA,0.4913787164924714,0.4908612804771965
58,BRTracer,0.525346250851459,0.4654824991696184
59,BugLocator,0.4733664869847393,0.3063304906059229
